item,value
transitar,1
hicieron detener,2
separaron,2
nuevamente resulta,1
propicia,1
incorporado,3
lozano informe,1
consta,27
incluida,2
yánez,5
había dirigido,1
dirigido,2
tiran,2
gritándole,1
dándole,4
luego decirle,1
decirle,2
ordenaron,16
ordenaron salir,2
anunciándole,1
anunciando,1
habían agarrado,1
agarrado,1
saludaron,1
matarla,1
tiró,1
rasgo,1
luego entraron,1
entraron,13
luego encerrarla,1
encerrarla,1
desnuda,1
desnuda paso,1
paso,3
escuchó,4
llorando,1
gritando,1
gritando pidió,1
detuvo,1
subió,2
había transmitido,1
transmitido,1
violaron,3
desplaza,9
había desplazado,2
conocer,20
no perteneció,1
permaneciendo,6
violada,1
convivió,1
procedieron amarrar,1
amarrar,1
perdieran,1
encuentran,1
encuentran observando,1
observando,2
allí contando,1
contando,2
excluye,4
quedó inscrita,2
trabajando,12
era frecuentado,3
frecuentado,4
ve,3
invitarla,1
desgarra,1
esperar,3
esperar dándole,1
ahí vino,1
vino,5
tratarse,3
habían ido,4
ido,7
asediada,2
quitará,1
vivió,7
dejándole,2
recordar,2
enterarse,4
estaba planificando,1
planificando,1
prohibió,1
luego vino,1
desmoviliza,1
rompiendo,4
operaron,1
pasear,1
pasear tuvo,1
echó,1
aferra,1
sacar,8
no sirvió,1
sirvió,1
superaron,1
montaron,4
comienzan,1
rasgarle,1
no quedarse,1
quedarse,4
volver,4
subirla,1
antes amenazar,1
no denunciaran,1
denunciaran,1
denunciaran incluso dificultándole,1
incluso dificultándole,1
dificultándole,1
dificultándole obtener,1
denunciaran incluso dificultándole obtener,1
incluso dificultándole obtener,1
debiendo,4
debiendo abandonar,2
no tiene,3
estudiaba,1
ser asediada,1
señalando,4
acerca,1
subiera,2
niega,1
niega hacerlo,1
llorar,2
calme,1
insistiendo,1
besarla,2
presionarla,1
presionarla saca,1
saca,5
deja,2
repetir,1
ahora cuenta,1
victimizó,1
victimizó era,1
victimizó era conocido,1
atender,5
ser frecuentado,1
cortejar,1
rechazó,1
obligó abordar,1
señalándole,1
intentó huir,1
impidieron,2
condicionó,1
nuevamente arribó,1
arribó,8
inició,7
lanzó,3
pasados,5
envía,3
utilizó,3
visitar,6
